t0_command_sent,t1_movement_start,t2_goal_reached,current_time,x,y,yaw,V0_linear,V0_angular,Vdesired_linear,Vdesired_angular,current_linear,current_angular
1747997332.414,1747997332.452,1747997332.709,1747997333.917,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.938,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.959,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997333.981,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.001,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.025,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.046,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.067,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.089,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.110,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.136,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.157,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.178,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.200,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.221,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.242,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.264,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.284,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.312,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.333,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.355,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.376,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.402,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.423,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.445,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.466,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.487,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.515,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.536,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.558,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.580,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.601,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.625,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.646,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.667,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.689,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.710,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.733,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.755,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.776,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.797,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.821,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.842,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.863,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.884,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.906,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.927,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.949,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.969,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997334.997,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
