time_stamp,robot_x,robot_y,robot_yaw,selected_goal_x,selected_goal_y,final_goal_x,final_goal_y,linear_vel,angular_vel,actual_linear_vel,actual_angular_vel
13.053,2.26906,-0.00870021,-0.0463627,0.514937,-0.00215008,2.47959,0.0321674,0.437262,-0.048456,0.433197,-0.0468006
13.095,2.27702,-0.00904804,-0.0444815,0.521949,-0.00249787,2.48668,0.0276659,0.443127,-0.0503477,0.437262,-0.048456
13.14,2.29552,-0.00982513,-0.0411991,0.51841,-0.00365322,2.48324,0.0196367,0.440206,-0.0530611,0.443127,-0.0503477
13.167,2.32302,-0.011019,-0.0438884,0.520872,-0.00117837,2.48565,0.0266211,0.442281,-0.0421945,0.440206,-0.0530611
13.206,2.33231,-0.0114462,-0.0452429,0.519367,0.02615,2.48401,0.0600814,0.441901,0.0969275,0.442281,-0.0421945
13.239,2.35087,-0.0123315,-0.0478937,0.515695,0.0283145,2.48026,0.0668826,0.438906,0.105312,0.441901,0.0969275
13.257,2.36014,-0.0127886,-0.0490922,0.521353,0.0297147,2.48589,0.0700937,0.443679,0.110431,0.438906,0.105312
13.281,2.36942,-0.0132542,-0.050165,0.512032,0.0302737,2.47652,0.0727603,0.435947,0.115352,0.443679,0.110431
13.317,2.38792,-0.014159,-0.0483202,0.523527,0.0307604,2.48812,0.0686544,0.445535,0.115736,0.435947,0.115352
13.341,2.40652,-0.014981,-0.0434452,0.520049,0.0288098,2.48482,0.0566923,0.442542,0.109074,0.445535,0.115736
13.365,2.41572,-0.0153532,-0.040733,0.510911,0.0273962,2.47575,0.0499497,0.434868,0.105463,0.442542,0.109074
13.407,2.42502,-0.0157054,-0.0379885,0.516677,0.0264791,2.48157,0.0432244,0.439626,0.101144,0.434868,0.105463
13.452,2.4436,-0.0163441,-0.0327888,0.513207,0.0241965,2.47817,0.0303438,0.436639,0.0925634,0.439626,0.101144
13.497,2.45411,-0.0166684,-0.0300275,0.51577,0.0204403,2.48074,0.0172848,0.438651,0.0745721,0.436639,0.0925634
13.518,2.47121,-0.0171398,-0.0257956,0.509761,-0.0067154,2.48921,-0.0525848,0.43296,-0.0608736,0.438651,0.0745721
13.557,2.4804,-0.0173663,-0.0236781,0.500489,-0.0134258,2.4799,-0.0578577,0.425417,-0.0932,0.43296,-0.0608736
13.581,2.49876,-0.0177656,-0.0198845,0.512066,-0.0149619,2.47629,-0.0677131,0.435206,-0.100299,0.425417,-0.0932
13.605,2.51709,-0.0181163,-0.0178938,0.523701,-0.0158658,2.4878,-0.0736423,0.444931,-0.10405,0.435206,-0.100299
13.641,2.52609,-0.0182985,-0.019058,0.514725,-0.0152453,2.47889,-0.0707353,0.437427,-0.0998625,0.444931,-0.10405
13.683,2.54427,-0.0187291,-0.023661,0.511606,-0.012803,2.476,-0.0597475,0.434757,-0.0894699,0.437427,-0.0998625
